Filename,Number,Output,Formula,# variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high,Prefix_Formula
I.6.2a,1.0,f,mul id exp mul const C mul pi mul pow id sqrt const C pow id theta const C,1.0,theta,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,mul id exp mul const C mul pi mul pow id sqrt const C pow id theta const C
I.6.2,2.0,f,mul id exp mul const C mul const C mul pow pi const C mul pow id sigma const C mul pow id sqrt const C pow id theta const C,2.0,sigma,1.0,3.0,theta,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id exp mul const C mul const C mul pow pi const C mul pow id sigma const C mul pow id sqrt const C pow id theta const C
I.6.2b,3.0,f,mul id exp mul const C mul const C mul pow pi const C mul pow id sigma const C mul pow id sqrt const C pow add id theta mul const C id theta1 const C,3.0,sigma,1.0,3.0,theta,1.0,3.0,theta1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,mul id exp mul const C mul const C mul pow pi const C mul pow id sigma const C mul pow id sqrt const C pow add id theta mul const C id theta1 const C
I.8.14,4.0,d,mul id sqrt add pow add id x2 mul const C id x1 const C pow add id y2 mul const C id y1 const C,4.0,x1,1.0,5.0,x2,1.0,5.0,y1,1.0,5.0,y2,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id sqrt add pow add id x2 mul const C id x1 const C pow add id y2 mul const C id y1 const C
I.9.18,5.0,F,mul id G mul id m1 mul id m2 pow add pow add id x2 mul const C id x1 const C add pow add id y2 mul const C id y1 const C pow add id z2 mul const C id z1 const C const C,9.0,m1,1.0,2.0,m2,1.0,2.0,G,1.0,2.0,x1,3.0,4.0,x2,1.0,2.0,y1,3.0,4.0,y2,1.0,2.0,z1,3.0,4.0,z2,1.0,2.0,,,,mul id G mul id m1 mul id m2 pow add pow add id x2 mul const C id x1 const C add pow add id y2 mul const C id y1 const C pow add id z2 mul const C id z1 const C const C
I.10.7,6.0,m,mul id m_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,m_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,mul id m_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
I.11.19,7.0,A,add mul id x1 id y1 add mul id x2 id y2 mul id x3 id y3,6.0,x1,1.0,5.0,x2,1.0,5.0,x3,1.0,5.0,y1,1.0,5.0,y2,1.0,5.0,y3,1.0,5.0,,,,,,,,,,,,,add mul id x1 id y1 add mul id x2 id y2 mul id x3 id y3
I.12.1,8.0,F,mul id mu id Nn,2.0,mu,1.0,5.0,Nn,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id mu id Nn
I.12.2,10.0,F,mul id q1 mul id q2 mul const C mul pow pi const C mul pow id epsilon const C pow id r const C,4.0,q1,1.0,5.0,q2,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id q1 mul id q2 mul const C mul pow pi const C mul pow id epsilon const C pow id r const C
I.12.4,11.0,Ef,mul id q1 mul id r mul const C mul pow pi const C mul pow id epsilon const C pow id r const C,3.0,q1,1.0,5.0,epsilon,1.0,5.0,r,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id q1 mul id r mul const C mul pow pi const C mul pow id epsilon const C pow id r const C
I.12.5,12.0,F,mul id q2 id Ef,2.0,q2,1.0,5.0,Ef,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id q2 id Ef
I.12.11,13.0,F,mul id q add id Ef mul id B mul id sin mul id theta id v,5.0,q,1.0,5.0,Ef,1.0,5.0,B,1.0,5.0,v,1.0,5.0,theta,1.0,5.0,,,,,,,,,,,,,,,,mul id q add id Ef mul id B mul id sin mul id theta id v
I.13.4,9.0,K,mul const C mul const C mul id m add pow id v const C add pow id u const C pow id w const C,4.0,m,1.0,5.0,v,1.0,5.0,u,1.0,5.0,w,1.0,5.0,,,,,,,,,,,,,,,,,,,mul const C mul const C mul id m add pow id v const C add pow id u const C pow id w const C
I.13.12,14.0,U,mul id G mul id m1 mul id m2 add mul const C pow id r2 const C mul const C mul const C pow id r1 const C,5.0,m1,1.0,5.0,m2,1.0,5.0,r1,1.0,5.0,r2,1.0,5.0,G,1.0,5.0,,,,,,,,,,,,,,,,mul id G mul id m1 mul id m2 add mul const C pow id r2 const C mul const C mul const C pow id r1 const C
I.14.3,15.0,U,mul id m mul id g id z,3.0,m,1.0,5.0,g,1.0,5.0,z,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id m mul id g id z
I.14.4,16.0,U,mul const C mul const C mul id k_spring pow id x const C,2.0,k_spring,1.0,5.0,x,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul const C mul const C mul id k_spring pow id x const C
I.15.3x,17.0,x1,mul add id x mul const C mul id u id t mul pow id sqrt const C add const C mul const C mul pow id u const C pow pow id c const C const C,4.0,x,5.0,10.0,u,1.0,2.0,c,3.0,20.0,t,1.0,2.0,,,,,,,,,,,,,,,,,,,mul add id x mul const C mul id u id t mul pow id sqrt const C add const C mul const C mul pow id u const C pow pow id c const C const C
I.15.3t,18.0,t1,mul add id t mul const C mul id u mul id x pow id c const C mul pow id sqrt const C add const C mul const C mul pow id u const C pow pow id c const C const C,4.0,x,1.0,5.0,c,3.0,10.0,u,1.0,2.0,t,1.0,5.0,,,,,,,,,,,,,,,,,,,mul add id t mul const C mul id u mul id x pow id c const C mul pow id sqrt const C add const C mul const C mul pow id u const C pow pow id c const C const C
I.15.1,19.0,p,mul id m_0 mul id v mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,m_0,1.0,5.0,v,1.0,2.0,c,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,mul id m_0 mul id v mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
I.16.6,20.0,v1,mul add id u id v pow add const C mul id u mul id v pow id c const C const C,3.0,c,1.0,5.0,v,1.0,5.0,u,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul add id u id v pow add const C mul id u mul id v pow id c const C const C
I.18.4,21.0,r,mul add mul id m1 id r1 mul id m2 id r2 pow add id m1 id m2 const C,4.0,m1,1.0,5.0,m2,1.0,5.0,r1,1.0,5.0,r2,1.0,5.0,,,,,,,,,,,,,,,,,,,mul add mul id m1 id r1 mul id m2 id r2 pow add id m1 id m2 const C
I.18.12,22.0,tau,mul id r mul id F mul id sin id theta,2.0,r,1.0,5.0,F,1.0,5.0,theta,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id r mul id F mul id sin id theta
I.18.14,23.0,L,mul id m mul id r mul id sin mul id theta id v,3.0,m,1.0,5.0,r,1.0,5.0,v,1.0,5.0,theta,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id m mul id r mul id sin mul id theta id v
I.24.6,24.0,E_n,mul const C mul const C mul id m mul pow id x const C add pow id omega const C pow id omega_0 const C,4.0,m,1.0,3.0,omega,1.0,3.0,omega_0,1.0,3.0,x,1.0,3.0,,,,,,,,,,,,,,,,,,,mul const C mul const C mul id m mul pow id x const C add pow id omega const C pow id omega_0 const C
I.25.13,25.0,Volt,mul id q pow id C const C,2.0,q,1.0,5.0,C,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id q pow id C const C
I.26.2,26.0,theta1,mul id arcsin mul id n mul id sin id theta2,2.0,n,0.0,1.0,theta2,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id arcsin mul id n mul id sin id theta2
I.27.6,27.0,foc,mul const C pow add mul const C pow id d1 const C mul id n pow id d2 const C const C,3.0,d1,1.0,5.0,d2,1.0,5.0,n,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul const C pow add mul const C pow id d1 const C mul id n pow id d2 const C const C
I.29.4,28.0,k,mul id omega pow id c const C,2.0,omega,1.0,10.0,c,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id omega pow id c const C
I.29.16,29.0,x,mul id sqrt add pow id x1 const C add pow id x2 const C mul const C mul const C mul id cos mul id x1 mul id x2 add id theta1 mul const C id theta2,4.0,x1,1.0,5.0,x2,1.0,5.0,theta1,1.0,5.0,theta2,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id sqrt add pow id x1 const C add pow id x2 const C mul const C mul const C mul id cos mul id x1 mul id x2 add id theta1 mul const C id theta2
I.30.3,30.0,Int,mul id Int_0 mul mul const C pow id theta const C mul const C mul pow id n const C pow id theta const C,3.0,Int_0,1.0,5.0,theta,1.0,5.0,n,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id Int_0 mul mul const C pow id theta const C mul const C mul pow id n const C pow id theta const C
I.30.5,31.0,theta,mul id arcsin mul id lambd mul pow id d const C pow id n const C,3.0,lambd,1.0,2.0,d,2.0,5.0,n,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id arcsin mul id lambd mul pow id d const C pow id n const C
I.32.5,32.0,Pwr,mul pow id q const C mul pow id a const C mul const C mul pow pi const C mul pow id c const C pow id epsilon const C,4.0,q,1.0,5.0,a,1.0,5.0,epsilon,1.0,5.0,c,1.0,5.0,,,,,,,,,,,,,,,,,,,mul pow id q const C mul pow id a const C mul const C mul pow pi const C mul pow id c const C pow id epsilon const C
I.32.17,33.0,Pwr,mul const C mul const C mul pi mul id c mul id epsilon mul pow id Ef const C mul pow id omega const C mul pow id r const C pow add pow id omega const C mul const C pow id omega_0 const C const C,6.0,epsilon,1.0,2.0,c,1.0,2.0,Ef,1.0,2.0,r,1.0,2.0,omega,1.0,2.0,omega_0,3.0,5.0,,,,,,,,,,,,,mul const C mul const C mul pi mul id c mul id epsilon mul pow id Ef const C mul pow id omega const C mul pow id r const C pow add pow id omega const C mul const C pow id omega_0 const C const C
I.34.8,34.0,omega,mul id q mul id B mul id v pow id p const C,4.0,q,1.0,5.0,v,1.0,5.0,B,1.0,5.0,p,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id q mul id B mul id v pow id p const C
I.34.1,35.0,omega,mul id omega_0 pow add const C mul const C mul id v pow id c const C const C,3.0,c,3.0,10.0,v,1.0,2.0,omega_0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul id omega_0 pow add const C mul const C mul id v pow id c const C const C
I.34.14,36.0,omega,mul add const C mul id v pow id c const C mul id omega_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C,3.0,c,3.0,10.0,v,1.0,2.0,omega_0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul add const C mul id v pow id c const C mul id omega_0 mul pow id sqrt const C add const C mul const C mul pow id v const C pow pow id c const C const C
I.34.27,37.0,E_n,mul id h mul id omega mul const C pow pi const C,2.0,omega,1.0,5.0,h,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul id h mul id omega mul const C pow pi const C
I.37.4,38.0,Int,add id I1 add id I2 mul const C mul id I1 mul id I2 mul id cos mul id delta id sqrt,3.0,I1,1.0,5.0,I2,1.0,5.0,delta,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,add id I1 add id I2 mul const C mul id I1 mul id I2 mul id cos mul id delta id sqrt
I.38.12,39.0,r,mul const C mul pi mul const C mul id epsilon mul pow pi const C mul pow id h const C mul pow id m const C pow id q const C,3.0,m,1.0,5.0,q,1.0,5.0,h,1.0,5.0,epsilon,1.0,5.0,,,,,,,,,,,,,,,,,,,mul const C mul pi mul const C mul id epsilon mul pow pi const C mul pow id h const C mul pow id m const C pow id q const C
I.39.1,40.0,E_n,mul const C mul const C mul id V id pr,2.0,pr,1.0,5.0,V,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,mul const C mul const C mul id V id pr
I.39.11,41.0,E_n,mul const C mul id V mul id pr pow add id gamma mul const C const C const C,3.0,gamma,2.0,5.0,pr,1.0,5.0,V,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,mul const C mul id V mul id pr pow add id gamma mul const C const C const C
I.39.22,42.0,pr,mul id n mul id T mul id kb pow id V const C,4.0,n,1.0,5.0,T,1.0,5.0,V,1.0,5.0,kb,1.0,5.0,,,,,,,,,,,,,,,,,,,mul id n mul id T mul id kb pow id V const C
I.40.1,43.0,n,mul id n_0 mul const C mul id exp mul id g mul id m mul id x mul pow id T const C pow id kb const C,6.0,n_0,1.0,5.0,m,1.0,5.0,x,1.0,5.0,T,1.0,5.0,g,1.0,5.0,kb,1.0,5.0,,,,,,,,,,,,,mul id n_0 mul const C mul id exp mul id g mul id m mul id x mul pow id T const C pow id kb const C
I.41.16,44.0,L_rad,mul id h mul pow id omega const C mul const C mul pow pi const C mul pow id c const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C,5.0,omega,1.0,5.0,T,1.0,5.0,h,1.0,5.0,kb,1.0,5.0,c,1.0,5.0,,,,,,,,,,,,,,,,mul id h mul pow id omega const C mul const C mul pow pi const C mul pow id c const C pow add mul id exp mul id h mul const C mul id omega mul pow pi const C mul pow id T const C pow id kb const C mul const C const C const C
